Vārds, uzvārds	Kandidātu saraksts	Vēlēšanu apgabals	Kārtas nr. sarakstā	Dzimšanas gads	Darbavieta / nodarbošanās	Amats
Juris Rēķis	12 "Latviešu Nacionālisti"	Rīga	20	1950	SIA "Jureks un ko"	Valdes priekšsēdētājs
Maija Rēriha	5 "PROGRESĪVIE"	Kurzeme	3	1950	Biedrība “Līvu (lībiešu) savienība – Līvõd Īt”	Kolkas nodaļas vadītāja
Rudīte Rēriha	5 "PROGRESĪVIE"	Rīga	15	1976	Pašnodarbinātā	
Ivans Ribakovs	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	4	1960	Latvijas Republikas Saeima	12. Saeimas deputāts
Dmitrijs Ribņikovs	1 "Latvijas Krievu savienība"	Latgale	6	1977	Latvijas krievu kopienas Daugavpils nodaļa	vadītāja vietnieks
Edgars Riekstiņš	11 Latvijas Reģionu Apvienība	Kurzeme	6	1983	Balto Link SIA	Projektu vadītājs
Jānis Riekstiņš	8 No sirds Latvijai	Kurzeme	14	1974	Celtniecība	
Sandis Riekstiņš	2 Jaunā konservatīvā partija	Zemgale	2	1979	"LIMBAŽU MELIO" SIA	Valdes loceklis
Kārlis Rimša	11 Latvijas Reģionu Apvienība	Zemgale	6	1948	Jelgavas novada pašvaldība deputāts	
Edgars Rinkēvičs	13 Jaunā VIENOTĪBA	Rīga	1	1973	Ministru kabinets (Valsts kanceleja)	Ārlietu ministrs
Imants Riņķis	12 "Latviešu Nacionālisti"	Rīga	27	1945	Pensionārs/pensionāre	
Inguna Rībena	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	3	1956	Latvijas Republikas Saeima	Deputāte
Artis Rītelis	11 Latvijas Reģionu Apvienība	Zemgale	14	1981	"Pārvadājam.lv"	Īpašnieks
Ludmila Rjazanova	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	4	1965	Liepājas dome	Deputāte
Ludmila Rodionova	1 "Latvijas Krievu savienība"	Vidzeme	4	1954	Olaines krievu kopiena	Valdes locekle
Anna Romanova	12 "Latviešu Nacionālisti"	Rīga	15	1994	RAKUS "Gaiļezers"	Sanitāre / slimnieku kopēja
Aigars Romulis	10 Attīstībai/Par!	Vidzeme	23	1987	AS "Sadales tīkls"	Tehniķis
Aksels Roshofs	13 Jaunā VIENOTĪBA	Vidzeme	10	1961	Neatliekamās palīdzības dienests, Rīgas reģionālais centrs	Vadītājs
Uģis Rotbergs	13 Jaunā VIENOTĪBA	Rīga	8	1961	SIA Remote sensing	Valdes loceklis
Māris Rozenbergs	13 Jaunā VIENOTĪBA	Kurzeme	5	1978	LM AUTO SIA	Prokūrists
Ēriks Rozencveigs	14 Par Alternatīvu	Rīga	8	1930	Pensionārs/pensionāre	
Pēteris Rožinskis	16 Zaļo un Zemnieku savienība	Latgale	7	1958	Riebiņu novada dome	Pašvaldības priekšsēdētājs
Artūrs Rubiks	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	16	1970	Latvijas Republikas Saeima	12. Saeimas deputāts
Raimonds Rubiks	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	7	1963	Latvijas Republikas Saeima	12. Saeimas deputāts
Evija Rubina	11 Latvijas Reģionu Apvienība	Zemgale	11	1975	RKS PRESTIŽS SIA	izpilddirektore
Andris Rubins	12 "Latviešu Nacionālisti"	Rīga	1	1947	Latvijas Universitāte	Dermatoveneroloģijas katedras vadītājs, profesors
Silvestrs Rubins	12 "Latviešu Nacionālisti"	Kurzeme	1	1973	Latvijas Universitāte, Medicīnas fakultāte	Docents
Arvīds Rubīns	1 "Latvijas Krievu savienība"	Latgale	10	1958	SIA “Mikor”	būvdarbu vadītājs
Aigars Rublis	13 Jaunā VIENOTĪBA	Zemgale	5	1977	Nodarbinātības valsts aģentūra	Jelgavas filiāles vadītājs
Raimonds Rublovskis	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	14	1967	Rīgas Pašvaldības policija	Galvenais speciālists stratēģiskās plānošanas jautājumos
Vladimirs Rudzītis	8 No sirds Latvijai	Kurzeme	2	1964	Aizputes novada pašvaldības policija	Inspektors
Ilze Ruģele	12 "Latviešu Nacionālisti"	Rīga	6	1977	SIA Klippan Saule	Tekstilizstrādājumu tehnologs - dizainers
Andris Rukmanis	16 Zaļo un Zemnieku savienība	Rīga	8	1961	Latvijas Zvērinātu advokātu kolēģija	Zvērināts advokāts
Jānis Ruks	11 Latvijas Reģionu Apvienība	Vidzeme	4	1963	Latvijas Republikas Saeima	deputāts
Dace Rukšāne-Ščipčinska	10 Attīstībai/Par!	Vidzeme	3	1969	SIA "GOLIN RIGA"	Tekstu autors
Ilvars Rullis	15 Politiskā partija "KPV LV"	Vidzeme	19	1971	Valkas pilsētas kultūras nams	Saimniecības pārzinis
Māris Rumaks	11 Latvijas Reģionu Apvienība	Latgale	17	1973	SIA “Baltic Flags”	izpilddirektors
Gundega Rupenheite	5 "PROGRESĪVIE"	Zemgale	3	1973	Biedrība "Latvijas Sarkanais Krusts"	Projekta"„Sociālā darbinieka un sociālā mentora pakalpojumu nodrošināšana patvēruma meklētājiem un personām ar bēgļu vai alternatīvo statusu” vadītāja
Genādijs Rusanovs	11 Latvijas Reģionu Apvienība	Rīga	13	1991	Neatliekamās medicīniskās palīdzības dienesta darbinieku Rīgas reģiona arodorganizācija	Priekšsēdētājs
Gunārs Rusiņš	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	8	1960	Aizsardzības ministrija	Militārā izdienas pensija (rezerves majors)
Ērika Ruskule	16 Zaļo un Zemnieku savienība	Latgale	13	1965	Valsts vides dienests Rēzeknes reģionālā vides pārvalde	Direktore
Inta Ruskule	5 "PROGRESĪVIE"	Latgale	4	1967	Daugavpils pilsētas dome	Īpašuma pārvaldīšanas departamenta Nekustamā īpašuma attīstības nodaļas vadītāja
Jānis Rušenieks	11 Latvijas Reģionu Apvienība	Vidzeme	19	1959	Rīgas Starptautiskā ekonomikas un biznesa administrācijas augstskola	lektors
Elīna Rutkovska	5 "PROGRESĪVIE"	Rīga	28	1991	Students/studente	
Mārtiņš Ruža	16 Zaļo un Zemnieku savienība	Zemgale	10	1971	Brīvmākslinieks	
Gita Rūtiņa	13 Jaunā VIENOTĪBA	Zemgale	7	1965	Kokneses novada dome	deputāte
Aleksandrs Sakovskis	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	5	1965	Akciju sabiedrība "Rīgas namu apsaimiekotājs"	Attīstības direktors
Leonīds Salcevičs	13 Jaunā VIENOTĪBA	Zemgale	3	1954	Jēkabpils pilsētas pašvaldība	deputāts
Pēteris Salenieks	11 Latvijas Reģionu Apvienība	Vidzeme	9	1957	Garkalnes novada pašvaldība	deputāts
Ansis Saliņš	13 Jaunā VIENOTĪBA	Zemgale	8	1983	ZS Iesalnieki-1	vadītājs
Dzintars Saliņš	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	15	1971	SIA "Latvijas Mobilais Telefons"	Darba aizsardzības inženieris
Renāte Salmane	8 No sirds Latvijai	Rīga	9	1978	Centrālā Finanšu un līgumu aģentūra	Eksperte
Andrejs Salmins	8 No sirds Latvijai	Kurzeme	10	1976	Skrundas novada dome	Deputāts
Maija Salmiņa	8 No sirds Latvijai	Zemgale	8	1977	A/S “SentorFarm aptiekas” , Mēness aptieka Tukumā	Aptiekas vadītāja, farmaceits
Alīna Samīte	13 Jaunā VIENOTĪBA	Rīga	33	1985	Latvijas Republikas Iekšlietu Ministrijas Pilsonības un Migrācijas Lietu Pārvalde Rīgas 3.nodaļa	Klientu apkalpošanas speciāliste
Vladimirs Samohins	8 No sirds Latvijai	Vidzeme	3	1959	Ķeguma komercnovirziena vidusskola	Direktors
Gabriella Sandlere	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	33	1996	Valsts ieņēmumu dienests, Juridiskās un pirmstiesas strīdu izskatīšanas pārvaldes Tiesvedības daļas Otrā nodaļa	Galvenā juriste
Irēna Saprovska	12 "Latviešu Nacionālisti"	Rīga	9	1948	Pensionārs/pensionāre	
Gagiks Sarkisjans	1 "Latvijas Krievu savienība"	Rīga	23	1955	Pensionārs/pensionāre	
Aleksandrs Saško	3 Rīcības partija	Latgale	10	1982	SIA "Guard Services"	apsargs
Raimonds Saukums	3 Rīcības partija	Zemgale	6	1958	SIA "COPs"	Apsargs
Andris Saulītis	2 Jaunā konservatīvā partija	Kurzeme	6	1981	Valsts darba inspekcija	Zemgales Reģionālās VDI vadītājs, galvenais Valsts inspektors
Aigars Saušs	10 Attīstībai/Par!	Kurzeme	13	1981	Pārresoru koordinācijas centrs	Kapitālsabiedrību pārvaldības nodaļas konsultants
Maksims Savunovs	1 "Latvijas Krievu savienība"	Rīga	27	1980	SIA 1st Mobile Store	menedžeris
Laurencija Sazone	8 No sirds Latvijai	Rīga	21	1971	SIA "Agga Brokeris"	Apdrošināšanas brokeris
Gundars Sebris	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	6	1967	Talsu Valsts ģimnāzija	Direktors
Laura Segliņa	13 Jaunā VIENOTĪBA	Rīga	35	1996	Politiskā partija "Vienotība"	Juriste
Andris Sekacis	10 Attīstībai/Par!	Rīga	15	1970	SIA "Baltic Legal Practice"	Vadošais auditors kvalitātes vadības sistēmas
Inna Seļgicka	1 "Latvijas Krievu savienība"	Latgale	14	1963	Biedrība "Eridan"	vaditāja
Pāvels Sereda	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	3	1988	Liepājas dome	Deputāts
Romans Sereda	8 No sirds Latvijai	Vidzeme	10	1990	SIA "Viasms"	Programmētājs
Aleksandrs Sergejevs	3 Rīcības partija	Kurzeme	10	1958	SIA "COPs"	Apsargs
Iveta Sers	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	7	1966	Rīgas dome	Domes priekšsēdētāja padomniece
Kārlis Seržants	16 Zaļo un Zemnieku savienība	Rīga	4	1959	LR Saeima	Deputāts
Artis Sēja	10 Attīstībai/Par!	Rīga	33	1979	SIA "KRONOSPAN RIGA"	Tehnisko iepirkumu vadītājs
Raitis Sijāts	2 Jaunā konservatīvā partija	Vidzeme	13	1960	NVO "Eiropas kultūras tūrisma tīkls ECTN"	Prezidents
Vita Sila	8 No sirds Latvijai	Rīga	13	1973	"Ironing service"	Īpašniece
Viesturs Silenieks	16 Zaļo un Zemnieku savienība	Rīga	15	1977	LR Aizsardzības ministrija	Parlamentārais sekretārs
Aleksandra Siliniece	6 "Latvijas centriskā partija"	Rīga	9	1970	SIA ASG company ltd	valdes loceklis
Evika Siliņa	13 Jaunā VIENOTĪBA	Vidzeme	5	1975	Iekšlietu ministrija	PARLAMENTĀRĀ SEKRETĀRE
Inese Siliņa-Petrova	15 Politiskā partija "KPV LV"	Latgale	16	1981	SIA Evanagro	Valdes locekle
Andris Siliņš	12 "Latviešu Nacionālisti"	Rīga	8	1950	VCA POLIKLĪNIKA PULSS 5	Ārsts
Jānis Siliņš	2 Jaunā konservatīvā partija	Vidzeme	20	1945	Pensionārs/pensionāre	
Paulis Siliņš	12 "Latviešu Nacionālisti"	Rīga	24	1944	Rīgas 66 speciālā vidusskola	Asistents
Romualds Siliņš	15 Politiskā partija "KPV LV"	Latgale	2	1985	Saimnieciskās darbības veicējs	Lauksaimnieks
Viktors Silkāns	16 Zaļo un Zemnieku savienība	Zemgale	14	1967	SIA”Belam-Rīga”	Vides un darba aizsardzības inženieris
Jana Simanovska	5 "PROGRESĪVIE"	Vidzeme	3	1971	Biedrība “Ekodizaina kompetences centrs”	Valdes priekšsēdētāja un eksperte
Inese Simsone	2 Jaunā konservatīvā partija	Rīga	34	1963	“Rīgas Satiksme” Rīgas pašvaldības SIA	Trolejbusu vadītāja
Edgars Simsons	3 Rīcības partija	Zemgale	3	1971	SIA "Asumiņš"	Valdes loceklis
Vladimirs Siņicins	14 Par Alternatīvu	Rīga	5	1952	TV Eurosport	sporta komentētājs
Karina Siņkeviča	16 Zaļo un Zemnieku savienība	Vidzeme	23	1968	Bulduru slimnīca	Valdes locekle
Ligita Sipko	1 "Latvijas Krievu savienība"	Zemgale	6	1960	SIA ,,Jēkabpils Autobusu Parks"	autobusu mazgātāja
Irina Sirjatova	3 Rīcības partija	Zemgale	7	1961	SIA "COPs"	Apsardze
Oļegs Sisoļatins	1 "Latvijas Krievu savienība"	Rīga	10	1959	SIA "ALRENT"	Valdes loceklis
Guna Skangale	13 Jaunā VIENOTĪBA	Kurzeme	9	1948	Pensionārs/pensionāre	
Gaļina Skorobogatova	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	6	1966	Liepājas A.Puškina 2. vidusskola	Skolotāja
Sanda Skorrano	8 No sirds Latvijai	Zemgale	2	1988	SIA “Future Development”	Valdes loceklis
Alvils Skrastiņš	8 No sirds Latvijai	Rīga	10	1962	SIA "SongWash"	Īpašnieks
Andris Skride	10 Attīstībai/Par!	Vidzeme	2	1982	Paula Stradiņa klīniskā universitātes slimnīca	Ārsts, kardiologs
Astrīda Skrinda	12 "Latviešu Nacionālisti"	Latgale	2	1972	Daugavpils Universitātes Humanitāro un sociālo zinātņu institūts	Pētniece
Oļegs Skripačonoks	8 No sirds Latvijai	Rīga	32	1983	SIA "Vrika"	Īpašnieks
Kristīne Skrīvere	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	26	1989	Pašvaldības aģentūra „Cēsu Kultūras un Tūrisma centrs”	Cēsu Vēstures un mākslas muzeja vadītāja
Dainis Skrūzmanis	2 Jaunā konservatīvā partija	Latgale	8	1970	"SD Finanses" SIA	Valdes loceklis
Ivo Skudiķis	2 Jaunā konservatīvā partija	Vidzeme	17	1969	"Provoaktīvs" SIA	Valdes loceklis
Māris Skudra	16 Zaļo un Zemnieku savienība	Zemgale	16	1983	Jelgavas pilsētas pašvaldības iestāde "Pilsētsaimniecība"	Infrastruktūras vadības sistēmu nodaļas vadītājs
Zane Skujiņa	13 Jaunā VIENOTĪBA	Zemgale	12	1993	Latvijas Paralimpiskā komiteja	Sabiedrisko attiecību speciālists
Valdis Skujiņš	16 Zaļo un Zemnieku savienība	Kurzeme	6	1951	LR Saeima	Deputāts
Edgars Skvariks	10 Attīstībai/Par!	Kurzeme	6	1990	Slovākijas Republikas vēstniecība Rīgā	Politikas analītiķis un padomnieks
Arnis Slobožaņins	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	3	1984	Ilūkstes bērnu un jauniešu centrs	Pedagogs
Jolanta Smane	7 "LSDSP/KDS/GKL"	Latgale	4	1984	Lielrīgas reģionālā vides pārvalde	vecākais eksperts
Edvards Smiltēns	11 Latvijas Reģionu Apvienība	Vidzeme	1	1984	Latvijas Republikas Saeima	deputāts
Darja Smirnova	10 Attīstībai/Par!	Zemgale	8	1979	Latvijas Nacionālais simfoniskais orķestris	Koncertmeistara vietniece
Andrejs Smirnovs	1 "Latvijas Krievu savienība"	Latgale	5	1977	Rēzeknes Slimnīca	Ārsts ginekologs - dzemdību specialists
Ināra Sokirka	16 Zaļo un Zemnieku savienība	Latgale	8	1959	Viļakas novada dome	Deputāte
Jānis Sokolovs	7 "LSDSP/KDS/GKL"	Vidzeme	3	1980	Bērnu klīniskā universitātes slimnīca	ausu kakla un deguna klīnikas vadītājs
Uldis Sokolovs	8 No sirds Latvijai	Zemgale	3	1974	Jelgavas Tehnikums	Direktora vietnieks
Georgijs Sokolovskis	6 "Latvijas centriskā partija"	Latgale	1	1956	Bezdarbnieks/bezdarbniece	
Nikolajs Sokols	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	4	1985	Aizkraukles novada dome	Deputāts
Arvīds Soldāns	13 Jaunā VIENOTĪBA	Latgale	7	1960	SIA "AIMEK"	Komercdirektors
Andrejs Solopenko	1 "Latvijas Krievu savienība"	Vidzeme	6	1985	Saimnieciskās darbības veicējs	pašnodarbinātā persona
Sergejs Solovjovs	1 "Latvijas Krievu savienība"	Latgale	13	1962	Ditton pievadķēžu rūpnīca	brigadieris
Madara Sondore	7 "LSDSP/KDS/GKL"	Latgale	6	1988	Viļānu novada Dekšāres pagasta pārvalde	pārvaldes sekretāre
Vazgens Sorokins	6 "Latvijas centriskā partija"	Vidzeme	1	1996	Students/studente	
Ojārs Spārītis	16 Zaļo un Zemnieku savienība	Rīga	6	1955	Latvijas Mākslas akadēmija	Doktorantūras nodaļas vadītājs, profesors
Veiko Spolītis	13 Jaunā VIENOTĪBA	Rīga	10	1971	Latvijas Republikas Saeima	Deputāts
Ārijs Sproģis	16 Zaļo un Zemnieku savienība	Kurzeme	13	1968	Brocēnu novada pašvaldība	Domes priekšsēdētāja vietnieks
Edgars Sproģis	2 Jaunā konservatīvā partija	Latgale	11	1974	"Swedbank" AS	Jurists
Roberts Spručs	15 Politiskā partija "KPV LV"	Latgale	1	1972	Sabiedrība ar ierobežotu atbildību "Rīgas Austrumu klīniskā universitātes slimnīca"	Ārsts
Karina Sprūde	15 Politiskā partija "KPV LV"	Vidzeme	9	1988	Ādažu novada dome	Deputāte
Mārtiņš Staķis	10 Attīstībai/Par!	Rīga	2	1979	SIA "Innocent"	Valdes loceklis
Edgars Staltmanis	5 "PROGRESĪVIE"	Latgale	11	1952	SIA "Datateks"	Testētājs
Edgars Staņķis	15 Politiskā partija "KPV LV"	Zemgale	16	1993	Pašnodarbinātais	Pašnodarbinātais
Nikolajs Starikovs	1 "Latvijas Krievu savienība"	Zemgale	9	1980	SIA „DSM Meistari”	Tehniskais direktors
Egīls Stāmurs	12 "Latviešu Nacionālisti"	Rīga	17	1957	Rīgas Taksomentru parks	Maršrutu pārvadājumu nodaļas vietneks
Džordžs Ronnijs Steele	10 Attīstībai/Par!	Rīga	28	1959	Rīgas un Daugavpils teātris	Aktieris
Aija Stepanova	2 Jaunā konservatīvā partija	Rīga	28	1979	Biedrība "LATVJU PIRTS UN SPA ASOCIĀCIJA"	Valdes locekle
Igors Stepanovs	2 Jaunā konservatīvā partija	Zemgale	9	1964	Biedrība "LATVJU PIRTS UN SPA ASOCIĀCIJA"	Valdes loceklis
Jūlija Stepaņenko	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	10	1977	Latvijas Republikas Saeima	12. Saeimas deputāte
Viktorija Stipina	7 "LSDSP/KDS/GKL"	Zemgale	6	1975	SIA "Kalnakrogs"	Pārdevējs-operators
Ivars Stivriņš	13 Jaunā VIENOTĪBA	Latgale	13	1980	SIA IVIKS	direktors
Miervaldis Stivriņš	3 Rīcības partija	Kurzeme	9	1959	SIA "COPs"	Apsargs
Jānis Stjadja	5 "PROGRESĪVIE"	Zemgale	12	1959	SIA "ROBER"	Valdes loceklis
Sergejs Stoļarovs	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	12	1973	Jelgavas pilsētas dome	Deputāts
Anita Strapcāne	2 Jaunā konservatīvā partija	Latgale	4	1960	Balvu Kultūras un atpūtas centrs	Direktore
Aivars Straume	16 Zaļo un Zemnieku savienība	Rīga	13	1952	A/S” Latvijas dzelzceļš “	Tehniskās inspekcijas ārkārtējo situāciju un atjaunošanas līdzekļu nodaļas vadītājs
Inese Straume	15 Politiskā partija "KPV LV"	Vidzeme	21	1951	Latvijas Invalīdu biedrība	Valdes priekšsēdētāja
Raimonds Strauss	2 Jaunā konservatīvā partija	Rīga	36	1966	Raimonds Strauss	Saimnieciskās darbības veicējs
Agnese Strautiņa	10 Attīstībai/Par!	Vidzeme	14	1988	VAS "Latvijas dzelzceļš"	Komercdarbības speciāliste
Ena Strazdiņa	5 "PROGRESĪVIE"	Rīga	17	1994	SIA AGJ SERVISS	Valdes locekle
Gatis Strazdiņš	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	27	1976	pašnodarbināta persona	
Ģirts Strazdiņš	2 Jaunā konservatīvā partija	Kurzeme	15	1988	"Strazdins.Legal" SIA	Valdes loceklis
Miks Strazdiņš	5 "PROGRESĪVIE"	Rīga	22	1991	SBF AS	Bārmenis
Valerijs Strigins	1 "Latvijas Krievu savienība"	Vidzeme	10	1948	MSĢ TSV "JŪRMALA"	audzinātājs
Juta Strīķe	2 Jaunā konservatīvā partija	Rīga	1	1970	Rīgas dome	Deputāte
Zigurds Strīķis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	25	1959	SIA "Maestro+"	Valdes loceklis
Jānis Strods	2 Jaunā konservatīvā partija	Latgale	13	1957	Biedrība "AugšDaugava”	Valdes priekšsēdētājs
Juris Strušels	7 "LSDSP/KDS/GKL"	Latgale	7	1959	Murmastienes pamatskola	sabiedriskais jaunsargu instruktors
Armands Stumbergs	6 "Latvijas centriskā partija"	Kurzeme	3	1967	Latvijas Republika	zverināts advokats
Inguna Sudraba	8 No sirds Latvijai	Rīga	1	1964	Latvijas Republikas Saeima	Deputāte
Santa Suhaka	2 Jaunā konservatīvā partija	Rīga	10	1991	Rīgas dome	Deputātu frakcijas referente
Ilmārs Suhockis	8 No sirds Latvijai	Latgale	11	1967	Jaunsardzes un informācijas centrs	Instruktors
Santa Survila	13 Jaunā VIENOTĪBA	Rīga	13	1969	Latvijas Miopātijas asociācija "Sartorius"	valdes prezidente
Artjoms Suvorovs	3 Rīcības partija	Rīga	7	1990	SIA "Alpha Security Lat"	Valdes loceklis
Aija Svarinska	7 "LSDSP/KDS/GKL"	Kurzeme	2	1959	SIA Baltic Agro	uzskaitvede
Anita Svece	2 Jaunā konservatīvā partija	Rīga	9	1966	"Rīgas Austrumu klīniskā universitātes slimnīca" SIA	Diktofonu centra vadītāja
Ainārs Sviklis	13 Jaunā VIENOTĪBA	Zemgale	9	1965	Izglītības un zinātnes ministrija	Ministra padomnieks
Mārtiņš Svilis	11 Latvijas Reģionu Apvienība	Zemgale	3	1981	Jēkabpils pilsētas pašvaldība	deputāts
Kārlis Šadurskis	13 Jaunā VIENOTĪBA	Rīga	3	1959	Rīgas Tehniskā universitāte	profesors
Sarmīte Šaicāne	13 Jaunā VIENOTĪBA	Latgale	8	1969	Viļakas novada dome	Domes priekšsēdētāja vietniece
Zintis Šaicāns	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	22	1990	Ķekavas novada dome	Deputāts
Valdis Šakars	7 "LSDSP/KDS/GKL"	Zemgale	1	1959	SIA Energotaupošas tehnoloģijas un sistēmas	valdes priekšsēdētājs
Uldis Šalajevs	5 "PROGRESĪVIE"	Vidzeme	4	1982	Eiropas Komisijas Preses dienests	EK preses dienesta vadītāja vietnieka un preses dienesta pārstāvja par Eiropas Savienības budžeta un cilvēkresursu jautājumiem palīgs
Dmitrijs Šandibins	1 "Latvijas Krievu savienība"	Rīga	9	1986	Latvijas Krievu savienība	Valdes loceklis
Sergejs Šapovalovs	15 Politiskā partija "KPV LV"	Latgale	6	1985	Valsts sabiedrība ar ierobežotu atbildību "Paula Stradiņa klīniskā universitātes slimnīca"	ķirurgs
Viktors Ščerbatihs	16 Zaļo un Zemnieku savienība	Zemgale	9	1974	Olimpiskais centrs "Ventspils"	Fiziskās sagatavošanas galvenais treneris
Deniss Šeinovs	7 "LSDSP/KDS/GKL"	Latgale	10	1995	AS Latvijas maiznieks	operators
Margarita Šenbrūna	5 "PROGRESĪVIE"	Kurzeme	8	1987	SIA "Jūras krasti"	Pārdevēja
Andrejs Šepeļovs	14 Par Alternatīvu	Vidzeme	7	1980	SKH	metinātājs
Kaspars Ševčuks	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	12	1986	Kandavas Lauksaimniecības tehnikums	Pasniedzējs, darba aizsardzības speciālists
Didzis Šēnbergs	13 Jaunā VIENOTĪBA	Kurzeme	14	1979	Latvijas Republikas Saeima	deputāta palīgs
Mārtiņš Šics	11 Latvijas Reģionu Apvienība	Rīga	3	1950	Latvijas Republikas Saeima	deputāts
Silvija Šimfa	11 Latvijas Reģionu Apvienība	Latgale	3	1954	Latvijas Republikas Saeima	deputāte
Indulis Šlanka	8 No sirds Latvijai	Kurzeme	4	1963	Z/S “Kalniņkalni”	Lauksaimniecības strādnieks
Jevdokija Šlivka	13 Jaunā VIENOTĪBA	Latgale	14	1952	AS Lopkopības izmēģinājumu stacija Latgale	valdes locekle,galv.grāmatvede
Didzis Šmits	15 Politiskā partija "KPV LV"	Rīga	3	1975	Biedrība "EUROPEAN CRABBING ASSOCIATION"	prezidents
Edvīns Šnore	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	1	1974	Latvijas Republikas Saeima	Deputāts
Egīls Šņore	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	15	1954	Pensionārs/pensionāre	
Ģirts Šolis	5 "PROGRESĪVIE"	Zemgale	2	1976	Latvijas Leļļu teātris	Galvenais režisors
Andris Ansis Špats	8 No sirds Latvijai	Vidzeme	15	1943	Pētnieciskā jaunsaimniecība “Gundegas” ( ZS “Gundegas”)	Īpašnieks, pētījumu vad.
Airisa Šteinberga	11 Latvijas Reģionu Apvienība	Rīga	12	1968	RTU Humanitārais institūts	Asoc. profesore
Sandra Šteinberga	8 No sirds Latvijai	Rīga	22	1960	SIA “El Nido”	Menedžere
Uldis Šteinbergs	7 "LSDSP/KDS/GKL"	Zemgale	7	1955	pašnodarbinātais	
Mārtiņš Šteins	10 Attīstībai/Par!	Vidzeme	28	1992	Biedrība "Latvijas Jaunatnes padome"	Valdes loceklis
Ingus Štelcs	15 Politiskā partija "KPV LV"	Vidzeme	24	1982	Sabiedrība ar ierobežotu atbildību "Alojas Novada Saimniekserviss"	Valdes loceklis
Edgars Štelfs	7 "LSDSP/KDS/GKL"	Zemgale	8	1977	Sia Tenachem	Iekārtu operators
Kārlis Šube	10 Attīstībai/Par!	Rīga	34	1976	Avon Cosmetics	Valdes loceklis, Pārdošanas vadītājs
Juris Šulcs	13 Jaunā VIENOTĪBA	Zemgale	2	1955	LR Saeima	Deputāts
Ilga Šuplinska	2 Jaunā konservatīvā partija	Latgale	1	1970	Rēzeknes Tehnoloģiju akadēmija	Profesore, vadošā pētniece
Irēna Šusta	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	13	1967	SIA "Purva Dzērvenīte"	Valdes locekle
Tamāra Šustova	1 "Latvijas Krievu savienība"	Kurzeme	3	1949	Pensionārs/pensionāre	
Diāna Švānberga	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	7	1971	Valsts darba inspekcija	Juridiskās nodaļas vadītāja
Vilnis Švāns	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	14	1970	SIA "Tulpe VN"	Valdes loceklis
Ļubova Švecova	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	8	1970	SIA "Laforte"	Valdes locekle
Gunārs Tabūns	12 "Latviešu Nacionālisti"	Latgale	5	1947	Pensionārs/pensionāre	
Valdis Taupmanis	14 Par Alternatīvu	Rīga	10	1952	LOK	projektu vadītājs
Edgars Tavars	16 Zaļo un Zemnieku savienība	Rīga	2	1982	LR Satiksmes ministrija	Parlamentārais sekretārs
Edmunds Teirumnieks	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	1	1977	Rēzeknes Tehnoloģiju akadēmija	Rektors
Anta Teivāne	11 Latvijas Reģionu Apvienība	Zemgale	16	1970	Aizkraukles novada kultūras nams	direktore
